
2026/04/07 (10:00:45) | ===> btop++ v.1.3.0
2026/04/07 (10:00:45) | INFO: Logger set to INFO
2026/04/07 (10:00:45) | INFO: Running on /dev/pts/5
2026/04/07 (10:00:45) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2026/04/07 (10:00:45) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory

2026/04/07 (11:42:40) | ===> btop++ v.1.3.0
2026/04/07 (11:42:40) | INFO: Logger set to INFO
2026/04/07 (11:42:40) | INFO: Running on /dev/pts/1
2026/04/07 (11:42:40) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2026/04/07 (11:42:40) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory

2026/04/07 (11:50:02) | ===> btop++ v.1.3.0
2026/04/07 (11:50:02) | INFO: Logger set to INFO
2026/04/07 (11:50:02) | INFO: Running on /dev/pts/0
2026/04/07 (11:50:02) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2026/04/07 (11:50:02) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2026/04/07 (11:50:03) | INFO: Quitting! Runtime: 00:00:01

2026/04/07 (11:57:20) | ===> btop++ v.1.3.0
2026/04/07 (11:57:20) | INFO: Logger set to INFO
2026/04/07 (11:57:20) | INFO: Running on /dev/pts/1
2026/04/07 (11:57:20) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2026/04/07 (11:57:20) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory

2026/04/07 (12:13:58) | ===> btop++ v.1.3.0
2026/04/07 (12:13:58) | INFO: Logger set to INFO
2026/04/07 (12:13:58) | INFO: Running on /dev/pts/0
2026/04/07 (12:13:58) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2026/04/07 (12:13:58) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory

2026/04/08 (17:11:34) | ===> btop++ v.1.3.0
2026/04/08 (17:11:34) | INFO: Logger set to INFO
2026/04/08 (17:11:34) | INFO: Running on /dev/pts/4
2026/04/08 (17:11:34) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2026/04/08 (17:11:34) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory

2026/04/13 (10:05:28) | ===> btop++ v.1.3.0
2026/04/13 (10:05:28) | INFO: Logger set to INFO
2026/04/13 (10:05:28) | INFO: Running on /dev/pts/2
